Rank,Player,Team,Position,Salary
1,Jokic,DEN,C,55224526
2,Embiid,PHI,C,53320232
3,Beal,PHX,SG,50203930
4,James,LAL,PF,49511644
5,Butler,MIA,SF,48798677
6,Durant,PHX,SF,48554830
7,Antetokounmpo,MIL,PF,45640084
8,George,LAC,SG,44066367
9,Leonard,LAC,SF,44066288
10,Lillard,MIL,PG,44066288
11,Doncic,DAL,PG,43031940
12,LaVine,CHI,SG,43031940
13,Young,ATL,PG,43031940
14,VanVleet,HOU,PG,42846615
15,Gobert,MIN,C,41000000
16,Irving,DAL,PG,40000000
17,Garland,CLE,PG,39446090
18,Morant,MEM,PG,39446090
19,Williamson,NOP,PF,39446090
20,Davis,LAL,C,37980720
21,Harris,PHI,PF,36000000
22,Gilgeous-Alexander,OKC,PG,35859950
23,Jr.,DEN,SF,35859950
24,Simmons,BKN,PG,35448672
25,Harden,LAC,SG,34320000
26,Siakam,IND,PF,34226304
27,Holiday,BOS,PG,33749333
28,McCollum,NOP,SG,33333333
29,Ayton,POR,C,33232282
30,Adebayo,MIA,C,32600060
31,Fox,SAC,PG,32600060
32,Mitchell,CLE,SG,32600060
33,Tatum,BOS,PF,32600060
34,Grant,POR,PF,32000000
35,Poole,WAS,SG,32000000
36,Booker,PHX,SG,31650600
37,Ingram,NOP,SF,31650600
38,Murray,DEN,PG,31650600
39,Porzingis,BOS,PF,31650600
40,Towns,MIN,C,31650600
41,Middleton,MIL,SF,31000000
42,Hayward,OKC,SF,30000000
43,Herro,MIA,SG,30000000
44,Randle,NYK,PF,29272320
45,DeRozan,CHI,SF,27300000
46,Barrett,TOR,SG,26750000
47,Brown,BOS,SF,26583334
48,Jr.,MEM,PF,26180000
49,Brunson,NYK,PG,26000000
50,Collins,UTA,PF,25000000
51,Simons,POR,SG,25000000
52,Rozier,MIA,PG,24064674
53,Lopez,MIL,C,24000000
54,Johnson,BKN,SF,23625000
55,Hield,PHI,SG,23500000
56,Capela,ATL,C,22940640
57,Bridges,BKN,SF,22725000
58,Conley,MIN,PG,22680000
59,Brogdon,POR,PG,22500000
60,Jr.,TOR,SG,22500000
61,Hunter,ATL,SF,22500000
62,Kuzma,WAS,PF,22500000
63,Gordon,DEN,PF,21660000
64,Brooks,HOU,SF,21500000
65,Turner,IND,C,20451750
66,Allen,CLE,C,20000000
67,Ball,CHI,PG,20000000
68,Vucevic,CHI,C,20000000
69,Bogdanovic,NYK,SF,19516425
70,Poeltl,TOR,C,19500000
71,Smart,MEM,PG,19121999
72,Jr.,DAL,SG,18750000
73,Sabonis,SAC,PF,18725000
74,Johnson,SAS,SF,18500000
75,Fournier,DET,SG,18250000
76,Anunoby,NYK,SF,18000000
77,Barnes,SAC,PF,18000000
78,Powell,LAC,SG,18000000
79,Robinson,MIA,SF,18000000
80,Russell,LAL,PG,18000000
81,Sexton,UTA,PG,17737500
82,Nurkic,PHX,C,17500000
83,White,BOS,PG,17500000
84,Isaac,ORL,PF,17400000
85,Jr.,TOR,SG,17280000
86,Bogdanovic,ATL,SG,17000000
87,Hachimura,LAL,PF,17000000
88,Markkanen,UTA,PF,16867727
89,Fultz,ORL,PG,16666667
90,Dort,OKC,SG,16500000
91,Huerter,SAC,SG,16250000
92,Bertans,CHA,PF,16000000
93,LeVert,CLE,SG,16000000
94,Murray,ATL,PG,16000000
95,Strus,CLE,SG,15574260
96,Washington,DAL,PF,15500000
97,Caldwell-Pope,DEN,SG,15072562
98,Valanciunas,NOP,C,15067500
99,Robinson,NYK,C,15000000
100,Jones,WAS,PG,14500000
101,Kennard,MEM,SG,14000000
102,Reid,MIN,C,13986432
103,Finney-Smith,BKN,PF,13890240
104,Wembanyama,SAS,C,13793692
105,McDermott,IND,SF,13750000
106,Jones,NOP,SF,13456968
107,Reaves,LAL,SG,13456968
108,Gafford,DAL,C,13394160
109,Williams,CHA,PF,13335375
110,Harris,ORL,SG,13000000
111,Clarkson,UTA,SG,12880000
112,der,BKN,PG,12715125
113,Hart,NYK,SG,12640000
114,Adams,HOU,C,12600000
115,Banchero,ORL,PF,12539692
116,III,WAS,PF,12500000
117,Jr.,ORL,C,12500000
118,Clarke,MEM,PF,12500000
119,Olynyk,TOR,PF,12398374
120,Miller,CHA,SF,12344607
